"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"tnk_11","IFITM1","GIMAP4","CNN2","DAZAP2","IFITM3","CCND3","SLC2A3","HIST1H4C","LCP2","ARHGEF1","ANXA1","HCLS1","TC2N","GPSM3","DENND2D","GIMAP7","FOSB","TAGAP","IER2","BTG2","ZAP70","FLT3LG","CD40LG","RBL2","CAMK4","FCMR","CCNH","ITK","PPP1R15A","AC016831.7","LIMD2","PHB2","DNAJB1","CD5","EIF3L","ARHGAP15","FKBP5","IL16","BRD2","LCP1","NR4A2","PTGER4","INPP4B","AHNAK","TBRG1","DDIT4","GADD45B","EML4","MBNL1","RAC2"
"tnk_12","FOXP3","TIGIT","BATF","CARD16","CTLA4","DUSP4","GBP5","TNFRSF18","IL2RA","LAIR2","TNFRSF4","TBC1D4","CTSC","HLA.DRB1","PMAIP1","HLA.DPA1","STAM","IKZF2","BTG3","HLA.DPB1","SLAMF1","RTKN2","PIM2","IL10RA","TNFRSF1B","IL2RB","CD27","GLRX","USP15","PRDM1","ARID5B","LAYN","SYNGR2","ACP5","PHLDA1","GBP2","PELI1","SKAP1","SELPLG","GK","FAS","HTATIP2","SQSTM1","NAMPT","CST7","PHTF2","ICA1","SH2D2A","PBXIP1","CASP1"
"tnk_13","IL6ST","ICA1","TIGIT","FKBP5","CD84","TBC1D4","LIMS1","TSHZ2","PASK","TOX","IKZF3","TCF7","SMCO4","SESN3","MAF","SESN1","ATM","NR3C1","PHACTR2","MAGEH1","CTLA4","PDCD1","SH2D1A","GLCCI1","FAM107B","IL6R","CXCL13","ADD3","BTLA","DGKA","GPRIN3","TMEM243","TIAM1","YPEL3","TNFSF8","SLC9A9","TLK1","ELMO1","MSI2","GIMAP7","LRMP","TGOLN2","CD200","ARAP2","PSIP1","THADA","IPCEF1","AKAP13","SYNE1","NKTR"
"tnk_14","CD40LG","CTSH","CAPG","KLRB1","GZMA","RBL2","TMIGD2","ALOX5AP","MGAT4A","FKBP11","CXCR6","LCP2","OSTF1","PTPRCAP","CCR6","CD6","THEMIS","OXNAD1","RORA","LGALS3","AQP3","CD96","SASH3","SLAMF1","PDE4D","SLC9A3R1","GYG1","FLT3LG","CISH","TSEN54","APBB1IP","RUNX2","CAMK4","LTB","EML4","MBNL1","ADAM19","FKBP5","CCDC107","CD5","BHLHE40","ERN1","IL26","TGFBR2","ATP2B4","IL23R","LPXN","PLEKHF1","STK17A","IL17A"
"tnk_15","NME1","PAICS","IMPDH2","MCM7","C1QBP","NPM3","MCM5","GINS2","STMN1","PCNA","TOMM40","APEX1","EEF1E1","HMGA1","MRPL11","ATIC","POLR2H","MRPL4","PRDX4","NOP56","FEN1","TRAP1","IMP4","CCT5","LYAR","SMS","LYRM4","SNRNP25","SHMT2","GGCT","ADSL","NUDT1","CENPH","IFRD2","HELLS","TYMS","DNMT1","SNRPA1","TMEM106C","MRPL13","EXOSC5","BZW2","DDX21","COPS3","DTYMK","MCM6","MRPS23","BOLA3","MRPS15","TKT"
"tnk_16","FOXP3","IL2RA","TNFRSF4","TBC1D4","GADD45A","IL1R2","RTKN2","PMAIP1","LAIR2","MAF","IKZF2","PHACTR2","TNFRSF9","LAPTM4B","IL1R1","CD4","AC133644.2","CUL9","CD28","ARID5B","MALT1","CD79B","TFRC","MAGEH1","DUSP16","ICOS","ICA1","LAYN","NAMPT","F5","ZNF292","MXD4","PIM2","STAM","POU2F2","ZC3H12D","SOX4","PRDM2","VDR","SERPINB9","HTATIP2","ATP13A3","GLRX","JUND","FANK1","CD27","RAB11FIP1","GK","RASGRP1","FRMD4B"
"tnk_17","BIRC5","CENPF","CDC20","ASPM","MKI67","CDKN3","CCNB2","UBE2C","CENPA","CCNB1","TROAP","TPX2","TOP2A","AURKB","DLGAP5","CCNA2","PLK1","GTSE1","NUSAP1","HMMR","CENPE","CDC25B","NUF2","HMGB3","MXD3","KPNA2","CDK1","CKS1B","CDCA8","MAD2L1","RACGAP1","KIF2C","AURKA","KIF22","CDCA3","UBE2S","CEP55","KIFC1","TUBA1C","CENPW","STMN1","KIF20B","TACC3","KNSTRN","PRC1","CKAP2L","CDKN2D","PIF1","CKS2","DTYMK"
"tnk_18","PTPRCAP","DNAJB4","RCSD1","BAG3","SESN1","GIMAP7","RHOB","GIMAP1","ERN1","GIMAP4","TGFBR2","YPEL3","GADD45B","PSIP1","SERPINH1","OXNAD1","CACYBP","ZFAND2A","CDC42EP3","MBNL2","MXD1","TNFAIP8","NR4A1","TNF","DENND2D","TRAF3IP3","MZT2A","DNAJA4","TTC39C","TXNIP","MDFIC","KCNA3","GIMAP5","LCP2","CCDC88C","SEMA4D","ABHD3","TC2N","SCML4","SERINC5","ID3","TAGAP","IL2RG","CAMK4","URI1","MBP","GBP5","CHCHD10","GRAMD1A","HNRNPL"
"tnk_19","KLRC3","SLA2","KIR2DL4","AOAH","ENTPD1","CD160","ITGA1","ZEB2","ITGAE","KLRC2","PDE4A","TMIGD2","GPR15","LAYN","TIGIT","ATP8B4","TNFRSF9","TNIP3","KLRD1","TRDV1","TRGV4","SSH1","IKZF2","HOPX","ASB2","AUTS2","ABCB1","SYTL2","LYN","PLPP1","CAPG","SLC1A4","MATK","CD101","DAPK2","SLC16A3","GZMB","GALNT2","PLCG2","FAM3C","CTSW","CHPT1","IRF4","NKG7","ATP8A1","ASXL2","RIN3","IL21R","ITGB7","CCDC69"
"tnk_20","CD79A","MEF2C","MS4A1","HLA.DRA","TCF4","DERL3","BANK1","MZB1","RALGPS2","SMIM14","HLA.DQA1","POU2AF1","VPREB3","HLA.DRB1","HLA.DQB1","BASP1","IGHM","MARCKS","FCRL5","GNG7","IRF8","ADAM28","POU2F2","TNFRSF13C","LYN","JCHAIN","TNFRSF17","HLA.DMA","IGHA2","MARCH1","SWAP70","COBLL1","CTSH","BLK","PHACTR1","AFF3","PLCG2","RRBP1","CD79B","TNFRSF13B","CLIC4","LY86","SEL1L3","PKIG","PDLIM1","SPINT2","BTK","CCDC88A","EAF2","HSH2D"
