"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"tnk_11","IFITM1","IFITM3","GIMAP4","DAZAP2","SLC2A3","CNN2","CCND3","LCP2","HIST1H4C","FOSB","ARHGEF1","HCLS1","TAGAP","BTG2","IER2","ANXA1","GPSM3","TC2N","DENND2D","CCNH","ZAP70","ITK","AC016831.7","PPP1R15A","CD40LG","RBL2","FLT3LG","FCMR","CAMK4","GIMAP7","FKBP5","DNAJB1","BRD2","PHB2","NR4A2","AHNAK","TBRG1","DDIT4","LCP1","CD5","LIMD2","MBNL1","EML4","PARP8","GADD45B","EIF3L","PTGER4","RAC2","INPP4B","ARHGAP15"
"tnk_12","FOXP3","TIGIT","BATF","CTLA4","CARD16","DUSP4","GBP5","TNFRSF18","LAIR2","IL2RA","TNFRSF4","HLA.DRB1","HLA.DPA1","TBC1D4","CTSC","PMAIP1","STAM","IKZF2","HLA.DPB1","BTG3","SLAMF1","RTKN2","PIM2","IL2RB","IL10RA","TNFRSF1B","PRDM1","CD27","USP15","GLRX","SYNGR2","LAYN","ACP5","PHLDA1","ARID5B","PELI1","GK","SELPLG","SKAP1","GBP2","FAS","HTATIP2","SQSTM1","NAMPT","CST7","SH2D2A","PHTF2","PBXIP1","PAK2","ITGA4"
"tnk_13","IL6ST","ICA1","FKBP5","TIGIT","CD84","TBC1D4","LIMS1","PASK","IKZF3","TOX","SESN1","SMCO4","MAF","CTLA4","TSHZ2","SESN3","PHACTR2","NR3C1","CXCL13","PDCD1","ATM","GLCCI1","MAGEH1","TCF7","GPRIN3","TNFSF8","TIAM1","SH2D1A","FAM107B","SLC9A9","IL6R","BTLA","TMEM243","DGKA","YPEL3","TLK1","ELMO1","ADD3","IPCEF1","MSI2","ARAP2","LRMP","THADA","TGOLN2","CD200","AKAP13","DNAJB14","IQGAP1","TP53INP1","GIMAP7"
"tnk_14","CD40LG","CTSH","CAPG","KLRB1","GZMA","RBL2","TMIGD2","ALOX5AP","MGAT4A","CXCR6","LCP2","FKBP11","OSTF1","PTPRCAP","CCR6","CD6","OXNAD1","THEMIS","RORA","LGALS3","CD96","AQP3","SASH3","SLAMF1","PDE4D","SLC9A3R1","GYG1","CISH","FLT3LG","RUNX2","APBB1IP","TSEN54","CAMK4","LTB","EML4","MBNL1","FKBP5","ADAM19","CCDC107","ERN1","IL26","CD5","IL23R","TGFBR2","BHLHE40","ATP2B4","IL17A","LPXN","PLEKHF1","STK17A"
"tnk_15","PAICS","NME1","MCM7","IMPDH2","GINS2","MCM5","PCNA","STMN1","TYMS","FEN1","C1QBP","APEX1","MCM2","POLR2H","MRPL4","PRDX4","EEF1E1","TRAP1","MRPL11","TMEM106C","MCM6","ATIC","NPM3","SNRNP25","SHMT2","IMP4","CDT1","SMS","CENPH","MCM4","NOP56","HELLS","NUDT1","GGCT","TK1","DNMT1","CCT5","TOMM40","IFRD2","HMGA1","TUBA1C","MRPL13","DTYMK","LYAR","SNRPA1","POLR3K","BOLA3","EXOSC5","COPS3","CENPM"
"tnk_16","FOXP3","IL2RA","TNFRSF4","TBC1D4","GADD45A","IL1R2","RTKN2","PMAIP1","MAF","LAIR2","IKZF2","PHACTR2","IL1R1","LAPTM4B","TNFRSF9","CD4","MALT1","CD28","TFRC","CUL9","DUSP16","ARID5B","AC133644.2","CD79B","ICOS","LAYN","MAGEH1","NAMPT","ICA1","ZNF292","F5","MXD4","ZC3H12D","STAM","SERPINB9","SOX4","PIM2","VDR","POU2F2","ATP13A3","HTATIP2","PRDM2","JUND","GK","RASGRP1","FRMD4B","RAB11FIP1","SEC14L1","CD27","CLEC7A"
"tnk_17","CENPF","BIRC5","ASPM","CDC20","MKI67","CCNB2","CDKN3","UBE2C","CENPA","CCNB1","TROAP","TOP2A","TPX2","AURKB","CCNA2","DLGAP5","PLK1","NUSAP1","GTSE1","CENPE","HMMR","CDC25B","NUF2","MXD3","HMGB3","CDK1","KPNA2","CKS1B","RACGAP1","CDCA8","MAD2L1","KIF2C","AURKA","KIF22","CDCA3","CEP55","UBE2S","KIFC1","TUBA1C","STMN1","CENPW","KIF20B","TACC3","KNSTRN","PIF1","CKAP2L","CKS2","CDKN2D","KIF23","PRC1"
"tnk_18","PTPRCAP","DNAJB4","RCSD1","BAG3","SESN1","RHOB","GIMAP7","GIMAP1","ERN1","GIMAP4","TGFBR2","YPEL3","GADD45B","PSIP1","SERPINH1","OXNAD1","CACYBP","ZFAND2A","CDC42EP3","MBNL2","MXD1","NR4A1","TNFAIP8","TNF","DENND2D","TRAF3IP3","DNAJA4","MZT2A","TTC39C","MDFIC","TXNIP","KCNA3","GIMAP5","LCP2","CCDC88C","SEMA4D","ABHD3","SCML4","TC2N","TAGAP","SERINC5","ID3","IL2RG","CAMK4","URI1","MBP","GBP5","CHCHD10","GRAMD1A","HNRNPL"
"tnk_19","KLRC3","SLA2","KIR2DL4","AOAH","ENTPD1","CD160","ITGA1","ZEB2","ITGAE","KLRC2","TMIGD2","GPR15","PDE4A","LAYN","TIGIT","ATP8B4","TNFRSF9","TNIP3","KLRD1","TRDV1","TRGV4","SSH1","IKZF2","HOPX","ASB2","AUTS2","ABCB1","SYTL2","LYN","PLPP1","CAPG","SLC1A4","MATK","CD101","DAPK2","SLC16A3","GZMB","GALNT2","PLCG2","FAM3C","CTSW","CHPT1","IRF4","NKG7","ATP8A1","ASXL2","RIN3","IL21R","ITGB7","CCDC69"
"tnk_20","CD79A","MEF2C","HLA.DRA","MS4A1","TCF4","HLA.DQA1","RALGPS2","DERL3","MZB1","HLA.DRB1","HLA.DQB1","BANK1","SMIM14","POU2AF1","BASP1","VPREB3","MARCKS","IGHM","HLA.DMA","FCRL5","IRF8","GNG7","TNFRSF13C","POU2F2","ADAM28","IGHA2","JCHAIN","MARCH1","BLK","COBLL1","LYN","AFF3","TNFRSF17","SWAP70","TNFRSF13B","RRBP1","CLIC4","CD79B","CTSH","PLCG2","SEL1L3","PDLIM1","PKIG","LY86","PHACTR1","IGHA1","EAF2","STX7","ORAI2","CCDC88A"
